case_id,total_parcels,total_landowners,total_land_area,missing_doc_pct,survey_completed_pct,ownership_disputes_count,court_cases_count,pending_approvals_count,compensation_progress_pct,bank_verification_pct,open_grievances_count,avg_dept_response_days,environmental_clearance,rehabilitation_required,district_delay_rate,overdue_tasks_count,days_remaining,delay_probability,delayed_binary,delayed_days,risk_level
65,16,16,61.78,11.4,79.5,0,0,0,11.4,0.0,1,7.0,1,1,33.8,3,261,0.676,1,147,Medium
66,13,13,12.42,11.4,66.0,0,0,0,37.1,24.5,2,8.1,1,1,41.4,0,291,0.569,1,108,Medium
67,18,18,42.32,15.9,80.7,4,0,3,90.0,93.5,0,24.7,0,0,30.3,1,92,0.98,1,250,High
68,15,30,21.34,44.4,75.5,0,0,2,78.3,81.4,1,16.0,1,1,24.9,2,178,0.658,1,141,Medium
69,13,26,52.7,19.9,90.7,3,0,1,58.3,60.3,1,16.2,1,1,53.7,1,91,0.865,1,218,High
70,9,9,25.75,42.5,58.7,0,2,1,91.0,74.3,1,7.5,1,0,39.7,2,191,0.853,1,171,High
71,15,45,24.84,39.7,62.6,3,1,2,53.8,45.4,3,6.1,1,0,20.3,1,111,0.98,1,242,High
72,13,13,34.57,53.6,61.2,1,1,0,61.0,64.7,1,27.5,1,0,30.9,0,153,0.725,1,145,High
73,1,3,3.51,18.3,65.5,0,1,1,44.4,44.9,1,10.8,1,0,25.6,2,257,0.646,1,142,Medium
74,7,7,30.42,25.2,57.3,1,0,1,65.8,77.4,1,15.5,1,0,29.0,2,265,0.616,1,142,Medium
75,9,27,14.54,15.3,89.7,0,0,1,38.7,22.6,1,6.5,1,0,22.0,0,294,0.414,0,15,Medium
76,1,2,4.08,9.2,86.3,0,0,0,44.7,52.0,0,3.0,0,0,28.6,0,292,0.418,0,0,Medium
77,12,36,51.08,58.4,65.9,0,3,1,97.0,88.4,3,9.4,1,0,43.9,0,185,0.76,1,125,High
78,8,8,33.53,30.5,58.1,0,0,1,20.0,14.7,0,27.8,1,0,48.7,0,193,0.497,1,90,Medium
79,11,22,34.66,14.2,89.7,1,0,2,19.5,18.7,1,14.6,1,1,32.2,0,191,0.713,1,128,High
80,19,57,59.48,13.5,71.0,1,0,1,13.9,0.0,1,14.5,1,0,38.3,0,292,0.726,1,145,High
81,17,51,38.96,23.5,58.9,0,0,2,38.8,40.7,0,9.0,1,0,21.5,2,32,0.612,1,124,Medium
82,8,24,28.67,52.7,84.2,3,0,2,45.8,64.7,0,11.0,1,0,23.2,1,123,0.917,1,217,High
83,3,9,8.3,57.0,72.2,3,0,1,18.5,0.3,0,12.2,1,1,39.3,2,46,0.98,1,260,High
84,3,9,9.92,63.9,51.8,0,0,0,59.4,87.3,0,13.4,1,0,49.4,1,70,0.542,1,114,Medium
85,1,2,2.39,50.0,74.3,0,0,1,62.5,52.8,3,4.8,1,0,23.1,0,242,0.475,1,78,Medium
86,5,10,17.53,27.5,61.6,0,0,2,77.6,86.4,2,22.3,1,0,34.6,0,88,0.41,0,3,Medium
87,10,20,38.51,58.2,91.8,1,0,0,97.8,78.0,0,16.2,1,0,54.0,1,23,0.531,1,118,Medium
88,7,14,9.39,42.0,67.4,0,0,1,65.7,98.1,0,12.5,1,0,45.9,3,103,0.646,1,150,Medium
89,9,9,34.94,49.4,85.5,0,1,0,20.0,4.1,3,18.5,1,1,26.9,2,146,0.824,1,157,High
90,7,14,19.59,50.1,78.5,1,0,0,18.0,21.1,0,20.8,1,0,30.0,1,252,0.681,1,147,Medium
91,9,27,35.33,15.9,80.7,1,0,1,80.0,72.0,5,18.5,1,0,53.2,1,264,0.486,1,106,Medium
92,8,24,19.17,50.3,96.9,0,0,1,68.5,67.8,0,19.0,1,0,27.7,1,56,0.509,1,115,Medium
93,12,24,26.43,71.6,73.5,2,1,1,24.6,26.3,2,8.1,1,0,35.4,0,245,0.98,1,173,High
94,2,6,8.37,14.8,64.3,1,0,2,32.8,27.9,0,11.2,1,0,32.4,0,184,0.646,1,115,Medium
95,1,2,1.73,15.5,85.4,0,0,0,77.5,67.3,0,20.2,1,1,37.2,1,104,0.371,0,1,Low
96,16,48,62.78,39.8,83.2,1,1,0,61.0,60.3,0,9.9,1,0,28.3,0,205,0.622,1,138,Medium
97,5,5,12.95,9.1,86.2,0,1,2,62.7,61.7,1,17.8,1,0,43.4,2,291,0.686,1,132,Medium
98,3,3,8.11,47.0,87.1,0,1,1,28.9,33.8,0,7.7,1,0,28.2,0,141,0.667,1,104,Medium
99,12,24,23.3,19.1,80.5,0,0,0,66.6,73.9,1,7.0,0,0,41.1,0,147,0.474,1,81,Medium
100,8,16,23.36,48.3,46.7,0,1,1,79.4,91.6,0,13.5,1,1,32.5,2,77,0.868,1,174,High
101,3,6,6.01,36.2,92.1,0,0,2,89.7,98.1,0,24.5,0,0,28.8,1,254,0.511,1,98,Medium
102,1,3,0.95,23.6,87.8,0,0,1,76.3,78.3,1,16.3,1,1,44.3,0,52,0.451,1,81,Medium
103,3,6,5.42,52.7,84.7,1,1,2,61.9,58.1,0,12.8,1,0,53.8,4,178,0.98,1,240,High
104,5,5,4.12,28.5,68.6,1,1,0,70.6,47.6,0,16.2,1,0,50.4,0,52,0.703,1,136,High
105,15,45,66.3,54.9,80.0,0,0,0,53.7,56.0,1,14.3,1,1,23.0,1,293,0.576,1,126,Medium
106,14,28,61.23,29.1,56.5,0,1,2,30.4,46.8,1,7.1,1,0,35.9,2,165,0.844,1,163,High
107,3,9,6.79,28.9,35.3,1,0,1,89.4,77.9,4,10.2,1,0,44.3,0,72,0.641,1,119,Medium
108,1,3,3.49,19.4,83.3,0,0,0,57.9,47.9,2,4.9,1,1,39.7,2,190,0.475,1,102,Medium
109,5,10,10.4,25.7,62.2,0,0,1,63.5,83.1,0,14.6,1,0,45.4,1,257,0.42,0,5,Medium
110,14,42,45.96,28.5,74.7,0,0,1,99.1,100.0,0,20.9,1,0,54.1,0,188,0.341,0,12,Low
111,7,7,26.46,51.4,32.9,2,0,0,98.7,86.2,0,22.7,1,1,32.0,1,157,0.932,1,196,High
112,9,9,38.73,15.2,57.2,2,0,1,62.8,100.0,0,9.7,1,0,47.0,2,271,0.728,1,192,High
113,15,45,34.21,12.9,64.8,1,0,0,13.1,19.4,0,6.8,0,0,23.3,2,114,0.837,1,189,High
114,15,30,55.47,15.4,86.7,0,0,0,45.7,59.6,0,15.2,1,0,50.4,1,216,0.428,0,11,Medium
115,10,30,17.84,38.5,75.4,1,1,1,94.4,89.1,0,4.7,0,1,47.2,0,47,0.98,1,181,High
116,13,13,58.03,30.2,53.5,0,0,0,35.9,39.8,0,3.9,1,0,38.2,0,166,0.489,1,88,Medium
117,19,57,17.01,34.4,71.2,0,0,0,99.9,100.0,0,17.0,1,0,48.7,1,84,0.31,0,12,Low
118,7,21,21.23,62.0,66.7,0,3,2,17.6,4.1,0,2.1,0,1,43.3,1,156,0.98,1,175,High
119,17,17,55.08,16.1,50.1,1,0,1,61.1,85.9,0,12.6,1,1,39.3,3,260,0.805,1,213,High
120,4,12,13.38,35.9,84.3,0,1,1,56.4,55.8,1,15.6,1,0,53.1,0,110,0.658,1,98,Medium
121,5,15,6.23,46.1,68.3,0,0,0,33.0,25.5,0,4.4,1,0,24.6,0,98,0.474,1,105,Medium
122,7,14,29.91,37.3,30.7,1,3,0,95.4,78.0,0,29.6,1,1,54.8,0,139,0.98,1,173,High
123,13,26,19.11,10.3,90.3,2,1,1,65.7,74.1,0,4.3,1,0,25.4,0,180,0.763,1,164,High
124,15,15,46.56,49.1,63.1,1,0,0,30.7,34.5,1,24.2,0,0,36.8,0,153,0.808,1,152,High
125,11,11,17.86,37.4,78.9,0,0,1,44.6,30.0,2,24.5,1,0,28.1,1,174,0.52,1,81,Medium
126,4,4,7.75,15.2,78.6,2,0,1,74.9,77.0,0,20.0,1,1,29.5,0,100,0.702,1,142,High
127,13,26,36.68,55.7,61.8,1,0,1,36.8,44.1,1,16.3,1,0,42.1,2,153,0.805,1,186,High
128,7,7,16.41,9.6,84.9,1,0,0,89.2,83.3,1,14.9,1,1,21.2,1,119,0.498,1,111,Medium
129,19,19,26.46,6.8,83.7,0,0,0,24.9,30.5,1,5.5,1,0,52.9,2,92,0.412,0,8,Medium
130,2,2,2.86,29.2,53.2,0,0,3,33.8,33.9,3,6.9,1,0,29.8,0,233,0.634,1,116,Medium
131,10,20,23.47,24.1,62.5,0,0,4,23.0,19.7,2,9.2,1,1,29.5,1,206,0.88,1,159,High
132,13,39,46.83,23.1,80.6,0,1,1,19.4,5.0,0,12.4,1,0,50.2,1,202,0.674,1,121,Medium
133,6,6,24.73,43.4,73.1,0,1,2,37.0,40.0,0,9.5,1,0,46.8,4,210,0.95,1,239,High
134,12,36,13.34,36.1,65.7,0,0,1,99.9,68.8,1,10.6,0,1,43.5,2,88,0.729,1,134,High
135,12,12,27.05,32.7,53.4,0,0,0,18.5,40.1,4,5.5,0,0,25.1,1,275,0.71,1,116,High
136,11,33,12.88,4.5,38.6,2,0,0,29.2,47.0,2,25.9,1,0,46.9,1,157,0.793,1,177,High
137,7,14,6.03,47.9,75.6,0,0,0,34.4,19.0,0,13.8,1,0,32.6,0,52,0.485,1,80,Medium
138,1,2,3.25,33.7,60.4,0,0,1,65.7,44.1,0,29.5,1,0,54.8,1,50,0.452,1,92,Medium
139,1,1,3.03,35.7,51.0,1,1,1,77.1,94.6,2,4.6,0,0,43.5,4,129,0.98,1,228,High
140,13,39,18.24,2.3,74.9,0,1,3,77.7,75.2,1,4.9,1,0,49.3,0,16,0.512,1,65,Medium
141,9,18,14.99,64.8,73.2,0,0,2,10.8,11.7,1,20.5,0,1,45.7,1,29,0.98,1,178,High
142,3,3,2.66,22.1,74.5,0,0,2,68.7,69.1,1,9.0,1,0,40.8,1,98,0.426,0,13,Medium
143,7,7,27.23,5.9,62.2,2,0,2,66.8,47.1,0,22.3,0,1,45.1,2,268,0.98,1,226,High
144,6,12,26.44,62.7,80.3,4,2,2,56.6,68.4,2,19.0,1,1,40.9,0,240,0.98,1,237,High
145,8,16,10.41,16.5,60.8,1,1,0,44.1,50.8,2,11.0,1,1,21.8,0,202,0.771,1,154,High
146,9,9,14.91,54.8,94.7,1,0,0,81.8,82.1,1,6.0,1,0,32.1,0,39,0.456,1,86,Medium
147,5,15,20.07,36.9,67.5,0,0,1,40.9,6.9,1,6.4,0,0,31.1,0,284,0.691,1,129,Medium
148,1,3,4.23,35.1,71.5,2,0,1,30.7,38.3,1,7.7,1,0,45.0,1,254,0.845,1,188,High
149,19,57,44.7,21.0,60.8,3,0,0,37.9,43.6,0,12.1,1,0,40.2,0,260,0.803,1,172,High
150,10,10,9.87,43.6,89.4,1,0,2,49.6,48.2,0,16.4,0,0,41.4,1,191,0.851,1,159,High
151,12,24,11.35,19.4,71.6,1,0,3,29.3,43.8,0,6.2,1,1,49.6,2,177,0.963,1,191,High
152,15,15,43.85,10.6,91.4,0,1,1,64.7,81.6,3,6.8,1,0,38.4,0,228,0.473,1,67,Medium
153,9,18,20.28,22.9,84.4,0,0,1,89.6,94.6,0,6.4,1,1,27.6,0,275,0.379,0,0,Low
154,17,51,15.4,42.8,90.6,2,3,2,63.6,40.9,0,38.7,1,0,20.4,4,250,0.98,1,268,High
155,17,51,50.29,29.1,82.3,1,0,0,50.2,31.2,1,8.5,1,0,25.6,1,159,0.564,1,98,Medium
156,12,24,10.1,22.4,68.1,1,0,0,81.7,71.2,0,14.4,0,0,21.1,0,83,0.626,1,130,Medium
157,7,14,25.99,24.9,72.1,1,0,2,77.3,73.6,0,19.7,1,0,28.3,0,265,0.592,1,131,Medium
158,2,2,3.87,57.5,59.3,2,0,1,43.0,55.6,1,6.9,1,1,42.2,4,68,0.98,1,281,High
159,3,9,2.85,14.5,90.1,1,1,1,64.4,69.3,1,15.7,1,1,25.3,0,189,0.755,1,145,High
160,17,17,50.61,36.6,84.8,0,0,2,75.7,73.2,1,15.6,1,0,22.9,1,237,0.43,0,5,Medium
161,5,5,11.36,57.2,71.9,0,0,0,32.1,41.5,1,6.2,1,1,54.0,0,191,0.719,1,98,High
162,17,17,74.85,42.8,53.4,4,0,1,43.0,31.4,1,8.5,1,0,54.9,0,76,0.864,1,228,High
163,17,51,47.83,4.1,72.5,1,0,1,19.5,28.9,0,15.7,1,0,42.3,2,30,0.701,1,163,High
164,17,17,30.91,11.5,90.5,3,1,0,98.9,100.0,1,10.4,1,0,23.8,0,223,0.82,1,183,High
165,2,2,6.85,34.3,90.9,2,2,0,17.7,25.5,0,21.1,1,1,48.8,0,149,0.98,1,178,High
166,2,2,3.61,32.5,70.4,1,0,3,25.2,37.9,0,4.8,1,0,38.9,0,57,0.744,1,126,High
167,5,5,20.73,11.3,88.4,0,2,0,53.2,52.5,0,22.3,1,0,26.4,1,186,0.751,1,141,High
168,1,1,2.19,11.0,64.8,0,0,0,87.9,58.0,0,10.9,1,0,40.1,0,94,0.305,0,9,Low
169,1,1,2.83,60.3,73.8,1,0,1,42.0,32.1,0,9.7,0,1,21.4,0,202,0.908,1,176,High
170,19,57,18.76,68.1,96.4,0,1,0,79.2,90.9,0,16.7,1,1,54.0,0,141,0.65,1,119,Medium
171,2,2,4.75,38.3,87.8,1,0,2,70.8,62.3,1,10.0,1,0,48.9,0,21,0.589,1,103,Medium
172,12,24,46.56,23.9,74.5,1,0,0,67.5,57.5,1,12.6,1,1,29.1,0,36,0.562,1,120,Medium
173,6,6,22.69,49.1,71.6,0,0,1,86.1,87.0,0,18.7,1,0,34.7,3,38,0.559,1,125,Medium
174,4,4,6.52,31.9,85.0,1,0,0,11.3,27.7,4,14.2,1,0,33.8,0,265,0.613,1,116,Medium
175,11,33,18.0,22.9,67.4,0,0,2,93.6,100.0,1,20.1,1,0,50.2,1,164,0.485,1,83,Medium
176,17,51,65.01,36.1,68.8,0,0,1,84.6,100.0,3,9.4,1,0,32.4,0,177,0.339,0,11,Low
177,6,12,25.45,19.6,61.7,0,1,0,94.4,100.0,1,14.3,1,0,21.7,0,130,0.453,1,65,Medium
178,5,10,5.76,16.9,69.9,2,0,4,81.4,86.8,0,26.7,0,0,27.5,0,197,0.901,1,191,High
179,2,6,4.93,26.6,60.1,0,0,0,89.1,85.6,4,4.0,0,1,27.5,0,260,0.598,1,101,Medium
180,6,18,12.29,29.4,83.7,0,1,1,28.3,5.0,3,14.8,1,0,53.2,0,145,0.654,1,118,Medium
181,11,11,44.24,5.6,97.4,0,0,4,38.7,40.9,1,18.0,1,0,52.3,1,289,0.562,1,111,Medium
182,16,48,17.74,39.4,16.4,0,0,1,38.4,39.0,0,25.3,1,0,30.5,3,139,0.697,1,178,Medium
183,16,32,25.3,13.8,76.0,0,1,1,19.8,29.8,0,14.6,1,0,20.1,0,229,0.662,1,98,Medium
184,1,1,3.58,26.7,54.6,0,1,0,75.7,80.3,2,15.8,1,1,38.1,1,285,0.755,1,145,High
185,9,18,8.91,38.7,77.7,2,0,0,22.3,26.3,0,7.9,1,0,47.9,0,83,0.816,1,175,High
186,6,6,15.73,60.5,84.5,0,0,0,14.7,31.7,1,23.0,1,1,29.4,0,270,0.639,1,93,Medium
187,16,48,38.97,11.1,50.4,1,0,4,79.8,75.9,1,16.9,1,0,35.4,0,276,0.683,1,140,Medium
188,3,6,6.11,22.0,75.3,0,0,4,91.4,100.0,0,7.7,1,0,26.0,0,161,0.526,1,94,Medium
189,4,4,9.04,24.3,61.9,4,0,0,78.8,98.1,1,7.1,1,0,31.5,0,29,0.631,1,173,Medium
190,19,19,52.45,37.0,57.4,0,0,0,84.3,76.0,1,10.2,1,0,46.6,1,191,0.411,0,18,Medium
191,3,9,4.19,45.1,88.4,2,0,0,63.6,57.5,0,12.2,1,0,35.0,0,96,0.7,1,150,Medium
192,19,57,55.41,33.9,93.6,1,0,0,89.9,78.4,1,11.3,1,0,35.7,0,188,0.399,0,0,Low
193,7,21,26.46,37.0,86.0,1,0,0,54.7,34.3,2,11.7,1,0,47.6,1,65,0.548,1,124,Medium
194,9,18,32.51,1.2,73.6,2,1,1,98.9,100.0,1,10.0,1,1,46.7,0,281,0.759,1,161,High
195,1,1,1.37,11.2,45.7,0,0,2,19.3,67.1,1,11.6,1,1,26.6,1,18,0.659,1,141,Medium
196,8,24,10.82,20.2,79.0,1,0,1,82.8,86.0,0,20.5,1,0,34.5,0,271,0.534,1,96,Medium
197,7,14,12.55,24.0,96.6,0,0,1,67.7,62.7,0,16.7,1,0,49.7,0,23,0.349,0,1,Low
198,18,36,38.45,14.3,70.4,1,0,2,62.3,88.4,5,4.4,0,0,36.0,2,287,0.787,1,159,High
199,8,16,18.49,10.6,71.5,3,0,1,75.3,84.3,1,21.7,0,0,43.2,0,271,0.843,1,183,High
200,1,3,3.31,29.3,48.4,2,0,1,85.6,74.3,0,14.6,1,1,30.7,2,162,0.912,1,210,High
201,11,33,11.11,21.4,31.0,0,0,0,87.7,74.5,1,6.1,1,0,22.1,0,206,0.293,0,12,Low
202,18,18,16.71,24.1,79.2,0,1,0,25.8,38.1,1,12.6,1,0,25.8,0,138,0.544,1,92,Medium
203,10,10,22.5,3.0,94.0,0,0,1,27.7,33.4,0,7.6,1,0,34.1,0,218,0.324,0,3,Low
204,3,9,10.14,24.5,61.5,0,0,3,11.5,28.3,3,7.6,1,1,32.4,0,99,0.815,1,140,High
205,7,14,10.61,4.6,82.3,0,0,1,21.9,32.5,0,10.0,1,0,51.3,0,172,0.431,0,7,Medium
206,16,32,50.78,23.1,71.2,0,0,3,33.7,15.4,1,21.6,1,1,39.1,0,37,0.709,1,115,High
207,16,32,28.18,20.2,76.5,4,0,0,74.9,63.3,1,2.2,0,0,42.0,0,134,0.813,1,201,High
208,17,17,69.33,16.9,29.4,1,0,2,52.8,39.6,0,8.5,1,1,44.1,0,70,0.779,1,159,High
209,2,4,8.23,7.7,69.7,1,2,2,78.2,81.5,2,17.3,1,1,38.6,2,16,0.98,1,194,High
210,1,1,1.9,52.6,74.6,0,0,1,53.8,52.0,1,35.1,1,1,46.9,0,230,0.676,1,87,Medium
211,16,16,26.42,24.9,74.3,1,0,3,60.0,53.2,2,44.7,1,0,47.4,1,47,0.709,1,141,High
212,12,24,27.86,16.1,43.6,3,0,1,20.0,15.3,0,10.2,1,0,32.3,2,263,0.98,1,233,High
213,5,10,8.45,27.8,79.4,1,1,0,79.9,90.0,3,5.5,1,1,23.0,0,251,0.689,1,131,Medium
214,5,15,16.44,8.1,97.1,0,0,0,78.2,75.5,0,15.2,1,1,54.5,0,122,0.297,0,9,Low
215,9,27,34.71,28.6,90.4,0,0,1,37.7,27.5,1,16.7,0,0,42.5,0,285,0.649,1,112,Medium
216,9,18,29.61,10.2,61.0,4,1,3,39.6,20.0,3,20.8,1,0,44.8,0,176,0.98,1,211,High
217,3,3,11.55,2.7,73.8,0,3,0,29.8,16.3,0,15.2,1,0,46.5,0,285,0.694,1,119,Medium
218,19,19,43.11,7.9,47.2,1,0,1,83.2,99.2,0,5.1,1,0,41.5,0,162,0.566,1,113,Medium
219,16,16,22.05,49.2,76.9,0,0,2,77.2,67.2,5,2.4,1,0,36.5,0,120,0.474,1,84,Medium
220,16,16,56.49,4.0,85.9,0,0,0,64.8,92.0,4,22.6,1,0,54.5,0,45,0.293,0,9,Low
221,3,3,6.4,7.9,93.7,2,0,0,31.5,40.9,2,19.3,1,0,45.5,0,272,0.607,1,129,Medium
222,1,3,3.28,2.5,88.7,0,0,0,25.5,13.3,1,6.3,1,0,49.6,0,283,0.268,0,0,Low
223,11,22,19.82,22.9,63.2,0,0,0,14.5,5.3,1,6.1,1,1,35.4,0,285,0.617,1,102,Medium
